dp_id,x_km,y_km,settlement_type,landclass,households,subscribers_initial
105,12.250176807113744,6.674699332357596,village,forest,13,4
106,14.290521029494125,6.261730822007612,village,open,15,4
107,13.480825552207984,6.643311276844942,village,hilly,16,5
108,12.617439901651599,7.715290283423741,village,forest,14,4
109,12.42377782485513,6.980751750105724,village,forest,10,3
110,11.99140814133999,6.649712578172288,village,forest,8,2
111,12.230371391894524,6.306814397397926,village,forest,10,3
112,12.605535147643845,6.010146166476915,village,rural,11,3
113,12.390043570839733,6.90837828949452,village,forest,15,4
114,12.317535452418179,7.755804369206505,village,rural,8,2
115,13.08004813653519,7.534039695870632,village,hilly,18,5
116,12.074774116435893,5.456153433258968,village,forest,15,4
117,12.738948734924639,6.912604603116225,village,rural,18,5
118,12.282206694959298,6.7503589664100145,village,forest,10,3
119,14.07123215878307,6.427488489147071,village,open,15,4
120,12.430829360256393,6.802982211182003,village,forest,6,2
121,13.84649048481343,5.629774084200854,village,hilly,15,4
122,12.089568617345769,7.860019749368301,village,rural,7,2
123,12.240323414094359,6.133015916576218,village,forest,11,3
124,13.169602935210419,6.8921890167663085,village,hilly,7,2
125,12.179872338799383,7.544456198353183,village,rural,13,4
126,11.884285469530283,5.378309993991312,village,hilly,14,4
127,12.842686695934145,6.055676374685952,village,rural,17,5
128,13.828131806022157,7.643619329732349,village,rural,14,4
129,11.604241175766933,7.069322311071664,village,rural,11,3
130,17.96023718352627,2.2612609413047324,village,open,13,4
131,17.17403193771118,1.14181669133163,village,rural,14,4
132,17.011225720982893,1.5358583198453533,village,open,12,4
133,16.536708043775366,1.1543323353259844,village,rural,15,4
134,17.25730796627646,1.768138689096494,village,open,16,5
135,17.54132987163783,2.0304982505632374,village,open,17,5
136,17.02139237065101,2.132334150008094,village,rural,12,4
137,17.633889847203857,1.8234639773313575,village,rural,11,3
138,17.255598593127434,2.0967913073961286,village,rural,12,4
139,16.117605235725737,2.2269221787274422,village,forest,14,4
140,16.492157865185078,2.190121895971867,village,forest,7,2
141,16.685831555561432,2.3537101635430884,village,rural,13,4
142,17.80450575576873,1.7195481439057858,village,rural,11,3
143,16.53073365308793,1.718101277939829,village,rural,12,4
144,16.608601847282568,2.090498968003602,village,rural,13,4
145,17.39056465266644,1.6208333385719427,village,open,14,4
146,15.985415056186065,2.3476960818786488,village,open,13,4
147,16.998564525628773,1.4769728189406792,village,rural,14,4
148,17.073087588571312,2.180572929023526,village,rural,7,2
149,16.68245949635887,1.228036102959157,village,rural,13,4
150,17.522677674141875,1.8393589100684913,village,rural,12,4
151,18.14605993045668,2.712459313597225,village,forest,11,3
152,17.03381539737497,2.497973277571834,village,rural,14,4
153,16.25378142296108,1.684948126644941,village,open,9,3
154,17.42613132418449,2.4560076945573672,village,rural,10,3
155,16.916891374672712,1.707974398129486,village,rural,13,4
156,17.14477840273144,2.655965537312885,village,rural,18,5
157,16.625781859615596,1.7391565352113543,village,rural,14,4
158,17.652060138757836,2.8555594528236776,village,forest,13,4
159,17.103190375302724,1.184197143974015,village,rural,19,6
160,16.974015646663936,2.60561951141516,village,hilly,11,3
161,17.622913350734414,2.0726201843289283,village,open,13,4
162,16.068844373430714,1.8066599800666947,village,open,13,4
163,17.520728155728122,1.874367978253593,village,rural,19,6
164,17.13270564715628,1.0883130083309065,village,rural,10,3
165,16.972780300499792,2.0530917817045964,village,rural,10,3
166,17.543501050370235,1.930008120231873,village,rural,14,4
167,15.859135754354906,1.7174173797768173,village,hilly,10,3
168,16.554865043469736,1.0276062272510664,village,rural,15,4
169,16.822283972395887,2.0630463510411743,village,rural,17,5
170,0.19158910587563138,6.2908125769975785,dispersed,rural,5,2
171,4.7169704840634115,7.010456945929206,dispersed,hilly,6,2
172,7.254979682632918,6.787731866792489,dispersed,open,3,1
173,1.1919336517970236,6.969820528149891,dispersed,rural,6,2
174,7.049309473910148,7.689474987682583,dispersed,rural,5,2
175,14.714706568180997,7.674586321789252,dispersed,hilly,4,1
176,6.9974754010991695,4.246122149420266,dispersed,forest,3,1
177,12.020440366953256,5.9653747801233,dispersed,forest,2,1
178,3.910358844002646,5.668826463462357,dispersed,hilly,6,2
179,8.544190244152789,3.364101866358966,dispersed,rural,7,2
180,1.2137362180675737,1.6744122376398052,dispersed,forest,4,1
181,3.538532977526394,5.008146884066238,dispersed,open,6,2
182,2.5566063116270032,1.9648271856083754,dispersed,rural,4,1
183,0.3946317670563393,9.932255641028723,dispersed,rural,7,2
184,8.665092467048659,4.847074313965894,dispersed,rural,3,1
185,4.925357476617553,8.734930435621514,dispersed,rural,13,4
186,12.67224449460992,9.035255132197726,dispersed,open,1,0
187,18.54903973232303,2.827183554451725,dispersed,hilly,2,1
188,19.940896636057726,3.2948329407174457,dispersed,hilly,4,1
189,2.6916264611919005,3.9873984614389792,dispersed,open,3,1
190,17.5251189480872,4.625616736870635,dispersed,hilly,6,2
191,12.411095181767422,9.547514165949606,dispersed,open,3,1
192,19.554660096936963,6.599499004423574,dispersed,hilly,4,1
193,17.330546054689794,1.9204397723828714,dispersed,open,4,1
194,18.17768717031191,0.483017647970152,dispersed,rural,1,0
195,12.316166798504039,9.441317066539803,dispersed,rural,6,2
196,13.789363472965022,3.6129024849676483,dispersed,open,4,1
197,6.774946427082447,3.0350583687527877,dispersed,open,1,0
198,1.9923302619408778,6.662102855061823,dispersed,rural,4,1
199,0.9073257236080323,4.0830866548792475,dispersed,open,4,1
200,18.60963777079887,1.6910382794627554,dispersed,forest,7,2
201,17.83176598247683,4.453035531419176,dispersed,open,5,2
202,6.606712025740942,6.7319890065331345,dispersed,open,4,1
203,13.402793869294317,7.400401147726576,dispersed,open,4,1
204,18.548926391269863,0.10787168489848842,dispersed,forest,4,1
205,3.5629411158714297,5.32375507767049,dispersed,open,4,1
206,14.2953624554236,9.899011570411403,dispersed,hilly,7,2
207,15.672887637694172,1.1920328722558804,dispersed,open,4,1
208,0.6782426033981759,8.577122351887079,dispersed,forest,4,1
209,7.6884813496713456,5.68598974993444,dispersed,hilly,4,1
210,7.555557317794566,1.2772844515311188,dispersed,rural,1,0
211,10.185111161590987,6.292697549423938,dispersed,forest,2,1
212,17.741768796205385,4.686324687153494,dispersed,hilly,3,1
213,14.099701768815349,0.8650515034919082,dispersed,rural,7,2
214,19.781758133046253,8.292760992155463,dispersed,open,1,0
215,8.300569385579834,3.610462250130716,dispersed,forest,1,0
216,5.80758719229488,0.8871536294775373,dispersed,open,4,1
217,1.533030297332203,2.266757980628682,dispersed,hilly,1,0
218,7.034780513849618,9.778665486762879,dispersed,hilly,9,3
219,2.018344890492909,7.393457863567763,dispersed,forest,1,0
